metraj,Sale Sakht,otagh,location,price,floor
۵۸,۱۴۰۲,۲,دقایقی پیش در تهران، تهران‌سر,۴٬۰۸۹٬۰۰۰٬۰۰۰ تومان,۳ از ۶
۳۲۰,۱۴۰۲,۴,دقایقی پیش در تهران، دروس,۹۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵ از ۶
۱۰۵,۱۳۷۱,۲,دقایقی پیش در تهران، قلهک,۱۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,همکف از ۲
۴۴,۱۳۹۵,۱,دقایقی پیش در تهران، فلاح,۲٬۴۸۰٬۰۰۰٬۰۰۰ تومان,۳ از ۳
۱۸۳,۱۴۰۲,۳,لحظاتی پیش در تهران، هروی,۲۰٬۶۷۹٬۰۰۰٬۰۰۰ تومان,۴
۶۸,۱۳۸۱,۲,لحظاتی پیش در تهران، المهدی,۶٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴
۵۱,۱۳۹۰,۱,لحظاتی پیش در تهران، امیریه,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۵
۱۰۶,۱۴۰۲,۲,لحظاتی پیش در تهران، هروی,۱۳٬۷۸۰٬۰۰۰٬۰۰۰ تومان,۶
۵۷,۱۳۸۷,۱,لحظاتی پیش در تهران، امیریه,۱٬۹۸۰٬۰۰۰٬۰۰۰ تومان,۳
۵۲,۱۳۸۰,۱,لحظاتی پیش در تهران، منیریه,۲٬۱۸۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴
۵۵,۱۳۸۴,۱,لحظاتی پیش در تهران، امیر بهادر,۲٬۷۲۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۵۷,۱۳۸۷,۱,لحظاتی پیش در تهران، امیریه,۲٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۵۲,۱۳۸۷,۱,لحظاتی پیش در تهران، منیریه,۲٬۶۹۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴
۵۳,۱۳۸۲,۱,لحظاتی پیش در تهران، امیر بهادر,۱٬۶۵۰٬۰۰۰٬۰۰۰ تومان,زیرهمکف از ۴
۲۰۰,۱۳۸۲,۳,لحظاتی پیش در تهران، قلهک,۲۶٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۶۵,۱۳۸۲,۲,لحظاتی پیش در تهران، مشیریه,۳٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۴۲,۱۳۹۲,۱,دقایقی پیش در تهران، امیریه، خیابان ولیعصر,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۵۳,۱۳۹۸,۱,لحظاتی پیش در تهران، اندیشه (شهر زیبا),۹۵۰٬۰۰۰٬۰۰۰ تومان,۱
۵۰,۱۴۰۲,۱,دقایقی پیش در تهران، پونک,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴
۱۰۰,۱۴۰۲,۲,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس، بلوار اردستانی (آزادراه تهران),۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۵ از ۱۵
۳۵۰,۱۴۰۱,۴,دقایقی پیش در تهران، نیاوران,۸۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶ از ۸
۴۶,۱۳۹۹,۱,دقایقی پیش در تهران، سلسبیل,۲٬۵۳۰٬۰۰۰٬۰۰۰ تومان,۲
۱۱۷,۱۴۰۱,۲,دقایقی پیش در تهران، صادقیه,۱۲٬۳۹۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۶۳,۱۳۹۷,۲,دقایقی پیش در تهران، اندیشه (شهر زیبا),۱٬۲۶۰٬۰۰۰٬۰۰۰ تومان,۲ از ۳
۶۰,۱۳۸۴,۲,لحظاتی پیش در تهران، میدان حر,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵
۱۵۵,۱۳۹۸,۳,لحظاتی پیش در تهران، اراج,۲۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴
۶۷,۱۳۸۳,۲,لحظاتی پیش در تهران، پونک,۵٬۷۶۰٬۰۰۰٬۰۰۰ تومان,۵ از ۶
